symbol,sector,industry,country,shares_outstanding
KZR.O,Health Care,Biotechnology,United States of America,7277907
L,Financials,Insurance,United States of America,214912595
LAB.O,Health Care,Life Sciences Tools & Services,United States of America,83364000
LAC,Materials,Metals & Mining,Canada,160047671
LAKE.O,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,8722965
LANC.O,Consumer Staples,Food Products,United States of America,27527090
LANV.K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",China,145021453
LARK.O,Financials,Banks,United States of America,5797627
LASE.O,Industrials,Machinery,United States of America,9253419
LASR.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,47266000
LAUR.O,Consumer Discretionary,Diversified Consumer Services,United States of America,150794000
LAW,Information Technology,Software,United States of America,60329000
LAZ,Financials,Capital Markets,United States of America,112766091
LAZR.O,Consumer Discretionary,Automobile Components,United States of America,441694774
LBGJ.O,Industrials,Machinery,China,17000000
LBRDA.O,Communication Services,Media,United States of America,143963619
LBRDK.O,Communication Services,Media,United States of America,143963619
LBRT.K,Energy,Energy Equipment & Services,United States of America,161858784
LBTYA.O,Communication Services,Diversified Telecommunication Services,Bermuda,382606031
LBTYB.O,Communication Services,Diversified Telecommunication Services,Bermuda,382606031
LBTYK.O,Communication Services,Diversified Telecommunication Services,Bermuda,382606031
LC,Financials,Consumer Finance,United States of America,113383917
LCID.O,Consumer Discretionary,Automobiles,United States of America,2300111489
LCNB.O,Financials,Banks,United States of America,17329423
LCTX.K,Health Care,Biotechnology,United States of America,174987000
LCUT.O,Consumer Discretionary,Household Durables,United States of America,21813266
LDI,Financials,Financial Services,United States of America,184403818
LDOS.K,Industrials,Professional Services,United States of America,131163899
LE.O,Consumer Discretionary,Specialty Retail,United States of America,31433000
LEA,Consumer Discretionary,Automobile Components,United States of America,64571405
LEE.O,Communication Services,Media,United States of America,6190000
LEGH.O,Consumer Discretionary,Household Durables,United States of America,24843494
LEN,Consumer Discretionary,Household Durables,United States of America,296580668
LENZ.O,Health Care,Biotechnology,United States of America,8286913
LESL.O,Consumer Discretionary,Specialty Retail,United States of America,184969296
LEVI.K,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,395396309
LFMD.O,Health Care,Health Care Technology,United States of America,38358641
LFST.O,Health Care,Health Care Providers & Services,United States of America,378725000
LFUS.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,26751355
LGCB.O,Consumer Discretionary,Broadline Retail,Japan,21500000
LGCL.O,Industrials,Professional Services,China,79563300
LGCY.K,Consumer Discretionary,Diversified Consumer Services,United States of America,11367162
LGIH.O,Consumer Discretionary,Household Durables,United States of America,27521120
LGL,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,5454639
LGND.O,Health Care,Pharmaceuticals,United States of America,17556000
LGTY.O,Information Technology,Software,United States of America,38754992
LH,Health Care,Health Care Providers & Services,United States of America,83400000
LHX,Industrials,Aerospace & Defense,United States of America,189794911
LICN.O,Industrials,Professional Services,China,26500000
LIEN.O,Financials,Capital Markets,United States of America,6214941
LII,Industrials,Building Products,United States of America,87170197
LILA.O,Communication Services,Diversified Telecommunication Services,United States of America,248500000
LILAK.O,Communication Services,Diversified Telecommunication Services,United States of America,248500000
LIN.O,Materials,Chemicals,United Kingdom,490766972
LIND.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,53390082
LINK.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,9860000
LION.O,Communication Services,Entertainment,United States of America,288681224
LIQT.O,Industrials,Machinery,Denmark,5727310
LITE.O,Information Technology,Communications Equipment,United States of America,67900000
LIVN.O,Health Care,Health Care Equipment & Supplies,United Kingdom,53942151
LKFN.O,Financials,Banks,United States of America,25978831
LKQ.O,Consumer Discretionary,Distributors,United States of America,323600000
LLY,Health Care,Pharmaceuticals,United States of America,947903000
LMAT.O,Health Care,Health Care Equipment & Supplies,United States of America,23911760
LMB.O,Industrials,Construction & Engineering,United States of America,11183076
LMND.K,Financials,Insurance,United States of America,70163703
LMNR.O,Consumer Staples,Food Products,United States of America,18284148
LMT,Industrials,Aerospace & Defense,United States of America,235000000
LNC,Financials,Insurance,United States of America,170380646
LNKB.O,Financials,Banks,United States of America,37370917
LNKS.O,Industrials,Electrical Equipment,Malaysia,13150000
LNN,Industrials,Machinery,United States of America,19124000
LNSR.O,Health Care,Health Care Equipment & Supplies,United States of America,11327000
LNT.O,Utilities,Electric Utilities,United States of America,256690222
LNTH.O,Health Care,Health Care Equipment & Supplies,United States of America,69863000
LNW.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,116000000
LNZA.O,Industrials,Commercial Services & Supplies,United States of America,196642451
LOAR.K,Industrials,Aerospace & Defense,United States of America,88000000
LOB,Financials,Banks,United States of America,45359425
LOBO.O,Consumer Discretionary,Automobiles,China,7780000
LOCO.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,31353223
LOGC.O,Consumer Discretionary,Broadline Retail,United States of America,24229000
LOOP.O,Materials,Chemicals,Canada,47528908
LOPE.O,Consumer Discretionary,Diversified Consumer Services,United States of America,54090000
LOVE.O,Consumer Discretionary,Household Durables,United States of America,15489364
LOW,Consumer Discretionary,Specialty Retail,United States of America,574000000
LPCN.O,Health Care,Pharmaceuticals,United States of America,5316166
LPG,Energy,"Oil, Gas & Consumable Fuels",United States of America,51995027
LPLA.O,Financials,Capital Markets,United States of America,130914541
LPRO.O,Financials,Capital Markets,United States of America,128198185
LPSN.O,Information Technology,Software,United States of America,90603519
LPTX.O,Health Care,Biotechnology,United States of America,25565414
LPX,Materials,Paper & Forest Products,United States of America,86000000
LQDA.O,Health Care,Pharmaceuticals,United States of America,68629575
LQDT.O,Industrials,Commercial Services & Supplies,United States of America,36707840
LRCX.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,2952010000
LRFC.O,Financials,Capital Markets,United States of America,2674698
LRMR.O,Health Care,Biotechnology,United States of America,43909069
LRN,Consumer Discretionary,Diversified Consumer Services,United States of America,48576164
LSAK.O,Financials,Financial Services,South Africa,89836051
LSB.O,Health Care,Biotechnology,China,19022795
LSBK.O,Financials,Banks,United States of America,6836514
LSCC.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,137704000
LSEA.O,Consumer Discretionary,Household Durables,United States of America,41382453
LSH.O,Industrials,Marine Transportation,United States of America,6000000
LSTR.O,Industrials,Ground Transportation,United States of America,68559269
LTH,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,196671000
LTRN.O,Health Care,Biotechnology,United States of America,10721192
LTRX.O,Information Technology,Communications Equipment,United States of America,37872883
LUCD.O,Health Care,Health Care Equipment & Supplies,United States of America,42329864
LULU.O,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Canada,131338000
LUMN.K,Communication Services,Diversified Telecommunication Services,United States of America,1014768000
LUNG.O,Health Care,Health Care Equipment & Supplies,United States of America,39487879
LUV,Industrials,Passenger Airlines,United States of America,888111634
LVLU.O,Consumer Discretionary,Specialty Retail,United States of America,40618206
LVS,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,834000000
LVTX.O,Health Care,Biotechnology,Netherlands,26289087
LW,Consumer Staples,Food Products,United States of America,150735397
LWAY.O,Consumer Staples,Food Products,United States of America,17274000
LXEO.O,Health Care,Biotechnology,United States of America,26668485
LXFR.K,Industrials,Machinery,United States of America,28308199
LXU,Materials,Chemicals,United States of America,91200000
LYEL.O,Health Care,Biotechnology,United States of America,253958000
LYFT.O,Industrials,Ground Transportation,United States of America,418005000
LYRA.O,Health Care,Pharmaceuticals,United States of America,57214550
LYTS.O,Industrials,Electrical Equipment,United States of America,30259128
LYV,Communication Services,Entertainment,United States of America,234771759
LZ.O,Industrials,Professional Services,United States of America,188538000
LZB,Consumer Discretionary,Household Durables,United States of America,42440000
LZM,Materials,Metals & Mining,Isle of Man,78269952
M,Consumer Discretionary,Broadline Retail,United States of America,333606000
MA,Financials,Financial Services,United States of America,1411000000
MAIA.K,Health Care,Biotechnology,United States of America,16986254
MAIN.K,Financials,Capital Markets,United States of America,84830679
MAMO.O,Consumer Discretionary,Automobiles,United States of America,40000000
MAN,Industrials,Professional Services,United States of America,118853620
MANH.O,Information Technology,Software,United States of America,60921191
MANU.K,Communication Services,Entertainment,United Kingdom,171000664
MAPS.O,Information Technology,Software,United States of America,94383053
MAR.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,276700000
MAS,Industrials,Building Products,United States of America,212500000
MASI.O,Health Care,Health Care Equipment & Supplies,United States of America,72300000
MASS.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,32519023
MAT.O,Consumer Discretionary,Leisure Products,United States of America,441400000
MATV.K,Materials,Chemicals,United States of America,54335830
MATW.O,Industrials,Commercial Services & Supplies,United States of America,36333992
MATX.K,Industrials,Marine Transportation,United States of America,34400000
MAX,Communication Services,Interactive Media & Services,United States of America,47400000
MBC,Industrials,Building Products,United States of America,130900000
MBCN.O,Financials,Banks,United States of America,9953018
MBI,Financials,Insurance,United States of America,283186115
MBIN.O,Financials,Financial Services,United States of America,45767166
MBLY.O,Consumer Discretionary,Automobile Components,Israel,811726477
MBUU.O,Consumer Discretionary,Leisure Products,United States of America,20181542
MBWM.O,Financials,Banks,United States of America,16146374
MBX.O,Health Care,Pharmaceuticals,United States of America,31853698
MCB,Financials,Banks,United States of America,11197625
MCBS.O,Financials,Banks,United States of America,25402782
MCD,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,1660600000
MCFT.O,Consumer Discretionary,Leisure Products,United States of America,16759109
MCHP.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,577806659
MCHX.O,Communication Services,Media,United States of America,43323000
MCK,Health Care,Health Care Providers & Services,United States of America,278000000
MCO,Financials,Capital Markets,United States of America,342902272
MCS,Communication Services,Entertainment,United States of America,31769958
MCVT.O,Financials,Financial Services,United States of America,6385255
MCW.O,Consumer Discretionary,Diversified Consumer Services,United States of America,329866784
MCY,Financials,Insurance,United States of America,55389000
MD,Health Care,Health Care Providers & Services,United States of America,85866000
MDAI.O,Health Care,Health Care Equipment & Supplies,United States of America,16294935
MDB.O,Information Technology,IT Services,United States of America,72840692
MDBH.O,Financials,Capital Markets,United States of America,9295632
MDCX.O,Health Care,Biotechnology,Canada,8076732
MDLZ.O,Consumer Staples,Food Products,United States of America,1996537778
MDT,Health Care,Health Care Equipment & Supplies,Ireland; Republic of,1311337531
MDWD.O,Health Care,Pharmaceuticals,Israel,9221764
ME.O,Health Care,Health Care Providers & Services,United States of America,24505969
MEC,Industrials,Machinery,United States of America,21853477
MEDP.O,Health Care,Life Sciences Tools & Services,United States of America,30630799
MEI,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,36650909
MELI.O,Consumer Discretionary,Broadline Retail,Uruguay,50697375
MEOH.O,Materials,Chemicals,Canada,67395212
MESA.O,Industrials,Passenger Airlines,United States of America,40940326
MET,Financials,Insurance,United States of America,1194168628
META.O,Communication Services,Interactive Media & Services,United States of America,2534000000
METC.O,Materials,Metals & Mining,United States of America,52812138
METCB.O,Materials,Metals & Mining,United States of America,52812138
MFIC.O,Financials,Capital Markets,United States of America,65253275
MFIN.O,Financials,Consumer Finance,United States of America,29051800
MGEE.O,Utilities,Electric Utilities,United States of America,36163000
MGM,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,294374189
MGNI.O,Communication Services,Media,United States of America,138577000
MGPI.O,Consumer Staples,Beverages,United States of America,23125166
MGRC.O,Industrials,Trading Companies & Distributors,United States of America,24551000
MGTX.O,Health Care,Biotechnology,United States of America,63601015
MGYR.O,Financials,Banks,United States of America,7097825
MHH,Industrials,Professional Services,United States of America,13429314
MHK,Consumer Discretionary,Household Durables,United States of America,69900000
MHO,Consumer Discretionary,Household Durables,United States of America,30137141
MHUA.O,Health Care,Health Care Equipment & Supplies,China,23940000
MIDD.O,Industrials,Machinery,United States of America,63942340
MIND.O,Energy,Energy Equipment & Services,United States of America,1406000
MIR,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,226203780
MITQ.K,Communication Services,Entertainment,United States of America,9986850
MKDW.O,Consumer Discretionary,Automobile Components,Taiwan,7187500
MKFG.K,Industrials,Machinery,United States of America,19858126
MKSI.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,67298941
MKTW.O,Financials,Capital Markets,United States of America,36384981
MKTX.O,Financials,Capital Markets,United States of America,41014538
MLAB.O,Health Care,Life Sciences Tools & Services,United States of America,5394491
MLI,Industrials,Machinery,United States of America,160366808
MLKN.O,Industrials,Commercial Services & Supplies,United States of America,70377692
MLM,Materials,Construction Materials,United States of America,61126646
MLNK.K,Information Technology,Software,United States of America,76049681
MLR,Industrials,Machinery,United States of America,11445640
MLTX.O,Health Care,Biotechnology,Switzerland,60466453
MLYS.O,Health Care,Biotechnology,United States of America,49821915
MMC,Financials,Insurance,United States of America,560641640
MMM,Industrials,Industrial Conglomerates,United States of America,944033056
MMS,Industrials,Professional Services,United States of America,60352000
MMSI.O,Health Care,Health Care Equipment & Supplies,United States of America,57858000
MMYT.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",India,109782486
MNDO.O,Information Technology,Software,Israel,21660010
MNDY.O,Information Technology,Software,Israel,49858787
MNKD.O,Health Care,Biotechnology,United States of America,270034495
MNOV.O,Health Care,Biotechnology,United States of America,49046246
MNRO.O,Consumer Discretionary,Specialty Retail,United States of America,40017264
MNSB.O,Financials,Banks,United States of America,7603765
MNST.O,Consumer Staples,Beverages,United States of America,1122592000
MNTK.O,Utilities,Independent Power and Renewable Electricity Producers,United States of America,143732811
MO,Consumer Staples,Tobacco,United States of America,2805961317
MOBX.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,34954131
MOD,Consumer Discretionary,Automobile Components,United States of America,56100000
MODG.K,Consumer Discretionary,Leisure Products,United States of America,187000000
MODV.O,Health Care,Health Care Providers & Services,United States of America,19775041
MOFG.O,Financials,Banks,United States of America,21582633
MOH,Health Care,Health Care Providers & Services,United States of America,56000000
MORN.O,Financials,Capital Markets,United States of America,54715677
MOS,Materials,Chemicals,United States of America,393875241
MOV,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,35487117
MOVE.O,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,3723218
MP,Materials,Metals & Mining,United States of America,178445570
MPAA.O,Consumer Discretionary,Automobile Components,United States of America,19662380
MPC,Energy,"Oil, Gas & Consumable Fuels",United States of America,985000000
MPLN.K,Health Care,Health Care Technology,United States of America,16695207
MPTI.K,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,2786321
MPWR.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,47823000
MPX,Consumer Discretionary,Leisure Products,United States of America,34713004
MQ.O,Financials,Financial Services,United States of America,520342975
MRAM.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,21080472
MRBK.O,Financials,Banks,United States of America,13243183
MRC,Industrials,Trading Companies & Distributors,United States of America,108531564
MRCC.O,Financials,Capital Markets,United States of America,21666000
MRCY.O,Industrials,Aerospace & Defense,United States of America,58093528
MRNA.O,Health Care,Biotechnology,United States of America,386000000
MRSN.O,Health Care,Biotechnology,United States of America,120711745
MRT,Industrials,Ground Transportation,United States of America,57036094
MRTN.O,Industrials,Ground Transportation,United States of America,81463938
MRUS.O,Health Care,Biotechnology,Netherlands,57825879
MRVI.O,Health Care,Life Sciences Tools & Services,United States of America,132228000
MRVL.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,865500000
MRX.O,Financials,Capital Markets,United Kingdom,76351279
MS,Financials,Capital Markets,United States of America,2038893979
MSA,Industrials,Commercial Services & Supplies,United States of America,62081391
MSAI.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,11956823
MSB,Materials,Metals & Mining,United States of America,13120010
MSBI.O,Financials,Banks,United States of America,21494485
MSCI.K,Financials,Capital Markets,United States of America,134079855
MSDL.K,Financials,Capital Markets,United States of America,88278830
MSEX.O,Utilities,Water Utilities,United States of America,17821000
MSFT.O,Information Technology,Software,United States of America,7434000000
MSGE.K,Communication Services,Entertainment,United States of America,52423000
MSGS.K,Communication Services,Entertainment,United States of America,24978000
MSI,Information Technology,Communications Equipment,United States of America,168600000
MSM,Industrials,Trading Companies & Distributors,United States of America,57178642
MSN,Consumer Discretionary,Household Durables,United States of America,52965797
MSTR.O,Information Technology,Software,United States of America,245778000
MSW.O,Industrials,Construction & Engineering,Hong Kong,12750000
MTAL.K,Materials,Metals & Mining,Jersey,82438431
MTB,Financials,Banks,United States of America,179436779
MTCH.O,Communication Services,Interactive Media & Services,United States of America,290931258
MTD,Health Care,Life Sciences Tools & Services,United States of America,44786011
MTDR.K,Energy,"Oil, Gas & Consumable Fuels",United States of America,125101268
MTEK.O,Information Technology,"Electronic Equipment, Instruments & Components",Israel,7999216
MTEN.O,Consumer Discretionary,Automobile Components,China,5000000
MTEX.O,Consumer Staples,Personal Care Products,United States of America,2742857
MTG,Financials,Financial Services,United States of America,363586000
MTH,Consumer Discretionary,Household Durables,United States of America,71921972
MTN,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,46855000
MTR,Energy,"Oil, Gas & Consumable Fuels",United States of America,1863590
MTRN.K,Materials,Metals & Mining,United States of America,27148000
MTRX.O,Industrials,Construction & Engineering,United States of America,27888217
MTSI.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,72219000
MTUS.K,Materials,Metals & Mining,United States of America,47100000
MTW,Industrials,Machinery,United States of America,40793983
MU.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,1253000000
MURA.O,Health Care,Biotechnology,Ireland; Republic of,16689740
MUSA.K,Consumer Discretionary,Specialty Retail,United States of America,46767164
MVBF.O,Financials,Banks,United States of America,13793016
MWA,Industrials,Machinery,United States of America,156227170
MWG,Industrials,Trading Companies & Distributors,Singapore,30840000
MXL.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,84613000
MYE,Materials,Containers & Packaging,United States of America,42552457
MYFW.O,Financials,Banks,United States of America,9667142
MYGN.O,Health Care,Biotechnology,United States of America,89900000
MYNZ.O,Health Care,Biotechnology,Germany,21165482
MYPS.O,Communication Services,Entertainment,United States of America,139380000
MYRG.O,Industrials,Construction & Engineering,United States of America,16684492
NABL.K,Information Technology,Software,United States of America,183220689
NAII.O,Consumer Staples,Personal Care Products,United States of America,9480906
NAMS.O,Health Care,Biotechnology,Netherlands,82469768
NAT,Energy,"Oil, Gas & Consumable Fuels",Bermuda,208796444
NATH.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,9374130
NATL.K,Financials,Financial Services,United States of America,70900000
NATR.O,Consumer Staples,Personal Care Products,United States of America,18875000
NAVI.O,Financials,Consumer Finance,United States of America,465000000
NB.O,Materials,Metals & Mining,United States of America,38062647
NBBK.O,Financials,Banks,United States of America,42705729
NBIS.O,Information Technology,Software,Netherlands,362040944
NBIX.O,Health Care,Biotechnology,United States of America,99400000
NBN.O,Financials,Banks,United States of America,8127690
NBR,Energy,Energy Equipment & Services,Bermuda,10661000
NBTB.O,Financials,Banks,United States of America,53975198
NC,Energy,"Oil, Gas & Consumable Fuels",United States of America,7448664
NCDL.K,Financials,Capital Markets,United States of America,53387277
NCEW.O,Industrials,Air Freight & Logistics,Hong Kong,22500000
NCI.O,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Hong Kong,20320000
NCL,Industrials,Building Products,United States of America,21380000
NCLH.K,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,425546570
NCNO.O,Information Technology,Software,United States of America,113684299
NCSM.O,Energy,Energy Equipment & Services,United States of America,2482796
NDAQ.O,Financials,Capital Markets,United States of America,598920378
NDLS.O,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States of America,48161878
NDSN.O,Industrials,Machinery,United States of America,98023000
NE,Energy,Energy Equipment & Services,United States of America,158946711
NECB.O,Financials,Banks,United States of America,14016254
NEE,Utilities,Electric Utilities,United States of America,2057000000
NEM,Materials,Metals & Mining,United States of America,1134000000
NEOV.O,Industrials,Electrical Equipment,United States of America,33236091
NESR.O,Energy,Energy Equipment & Services,United States of America,94996397
NET,Information Technology,IT Services,United States of America,344855000
NEU,Materials,Chemicals,United States of America,9524789
NEUE.K,Health Care,Health Care Providers & Services,United States of America,8085102
NEWP.K,Materials,Metals & Mining,Canada,171299119
NEXN.O,Communication Services,Media,Israel,73081004
NEXT.O,Energy,"Oil, Gas & Consumable Fuels",United States of America,258700000
NFBK.O,Financials,Banks,United States of America,42903598
NFE.O,Energy,"Oil, Gas & Consumable Fuels",United States of America,205000000
NFG,Utilities,Gas Utilities,United States of America,91005993
NFGC.K,Materials,Metals & Mining,Canada,186873012
NFLX.O,Communication Services,Entertainment,United States of America,453710560
NG,Materials,Metals & Mining,United States of America,334567187
NGVC.K,Consumer Staples,Consumer Staples Distribution & Retail,United States of America,22888540
NGVT.K,Materials,Chemicals,United States of America,43630211
NHC,Health Care,Health Care Providers & Services,United States of America,15350661
NI,Utilities,Multi-Utilities,United States of America,473785472
NIC,Financials,Banks,United States of America,15356785
NISN.O,Information Technology,Software,China,4017596
NJR,Utilities,Gas Utilities,United States of America,99477750
NKE,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",United States of America,1503000000
NKTR.O,Health Care,Pharmaceuticals,United States of America,191384000
NL,Industrials,Commercial Services & Supplies,United States of America,48833000
NMFC.O,Financials,Capital Markets,United States of America,102558859
NMIH.O,Financials,Financial Services,United States of America,87902626
NMRA.O,Health Care,Pharmaceuticals,United States of America,158832000
NNBR.O,Industrials,Machinery,United States of America,47269000
NNE.O,Industrials,Electrical Equipment,United States of America,30715663
NNI,Financials,Consumer Finance,United States of America,37063718
NNOX.O,Health Care,Health Care Providers & Services,Israel,57778628
NOC,Industrials,Aerospace & Defense,United States of America,144952026
NODK.O,Financials,Insurance,United States of America,22930205
NOG,Energy,"Oil, Gas & Consumable Fuels",United States of America,99113645
NOMD.K,Consumer Staples,Food Products,United Kingdom,163167134
NOTE.K,Industrials,Professional Services,United States of America,129970750
NOTV.O,Health Care,Life Sciences Tools & Services,United States of America,26015129
NOV,Energy,Energy Equipment & Services,United States of America,381549541
NOVA.K,Utilities,Independent Power and Renewable Electricity Producers,United States of America,122466515
NOVT.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,35814000
NOW,Information Technology,Software,United States of America,208151000
NPCE.O,Health Care,Health Care Equipment & Supplies,United States of America,27823465
NPK,Industrials,Aerospace & Defense,United States of America,7440518
NPKI.K,Energy,Energy Equipment & Services,United States of America,111669464
NPO,Industrials,Machinery,United States of America,21185581
NPWR.K,Industrials,Electrical Equipment,United States of America,71277906
NRC.O,Health Care,Health Care Providers & Services,United States of America,31072144
NRDS.O,Financials,Consumer Finance,United States of America,74107833
NRDY.K,Consumer Discretionary,Diversified Consumer Services,United States of America,106416000
NRG,Utilities,Electric Utilities,United States of America,267330470
NRGV.K,Industrials,Electrical Equipment,United States of America,146577000
NRIX.O,Health Care,Biotechnology,United States of America,75870718
NRXP.O,Health Care,Pharmaceuticals,United States of America,8391955
NRXS.K,Health Care,Health Care Equipment & Supplies,United States of America,6508897
NSC,Industrials,Ground Transportation,United States of America,226320894
NSIT.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,31778000
NSP,Industrials,Professional Services,United States of America,55500000
NSSC.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,39768186
NSTS.O,Financials,Banks,United States of America,5585159
NSYS.O,Information Technology,"Electronic Equipment, Instruments & Components",United States of America,2690633
NTAP.O,Information Technology,"Technology Hardware, Storage & Peripherals",United States of America,206000000
NTB,Financials,Banks,Bermuda,44157191
NTCT.O,Information Technology,Communications Equipment,United States of America,131316309
NTGR.O,Information Technology,Communications Equipment,United States of America,28500118
NTIC.O,Materials,Chemicals,United States of America,9466976
NTLA.O,Health Care,Biotechnology,United States of America,92997158
NTNX.O,Information Technology,Software,United States of America,265181000
NTRA.O,Health Care,Biotechnology,United States of America,119581000
NTRS.O,Financials,Capital Markets,United States of America,242923041
NTWK.O,Information Technology,Software,United States of America,12359922
NUE,Materials,Metals & Mining,United States of America,380153916
NUS,Consumer Staples,Personal Care Products,United States of America,90600000
NUVB.K,Health Care,Pharmaceuticals,United States of America,219046219
NUVL.O,Health Care,Biotechnology,United States of America,64065150
NVAX.O,Health Care,Biotechnology,United States of America,140506093
NVCR.O,Health Care,Health Care Equipment & Supplies,Jersey,107075754
NVDA.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,24640000000
NVEE.O,Industrials,Professional Services,United States of America,65115824
NVGS.K,Energy,"Oil, Gas & Consumable Fuels",United Kingdom,73208586
NVNO.O,Health Care,Health Care Equipment & Supplies,United States of America,13317000
NVRI.K,Industrials,Commercial Services & Supplies,United States of America,117474988
NVRO.K,Health Care,Health Care Equipment & Supplies,United States of America,37044390
NVST.K,Health Care,Health Care Equipment & Supplies,United States of America,174200000
NVT,Industrials,Electrical Equipment,United Kingdom,165000000
NVTS.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,179196418
NWBI.O,Financials,Banks,United States of America,127508003
NWE.O,Utilities,Multi-Utilities,United States of America,64810932
NWL.O,Consumer Discretionary,Household Durables,United States of America,442300000
NWN,Utilities,Gas Utilities,United States of America,37631212
NWPX.O,Industrials,Construction & Engineering,United States of America,9985580
NWS.O,Communication Services,Media,United States of America,674892758
NWSA.O,Communication Services,Media,United States of America,674892758
NWTN.O,Consumer Discretionary,Automobiles,United Arab Emirates,286186521
NX,Industrials,Building Products,United States of America,51266501
NXGL.O,Health Care,Health Care Equipment & Supplies,United States of America,5741838
NXPI.O,Information Technology,Semiconductors & Semiconductor Equipment,Netherlands,274519638
NXST.O,Communication Services,Media,United States of America,47282823
NXT.O,Industrials,Electrical Equipment,United States of America,140773223
OABI.O,Health Care,Life Sciences Tools & Services,United States of America,116859468
OB.O,Communication Services,Interactive Media & Services,United States of America,61567520
OBDC.K,Financials,Capital Markets,United States of America,390217304
OBIO.O,Health Care,Health Care Equipment & Supplies,United States of America,35777412
OBK,Financials,Banks,United States of America,31197574
OBT.O,Financials,Banks,United States of America,11366608
OC,Industrials,Building Products,United States of America,135500000
OCC.O,Information Technology,Communications Equipment,United States of America,8220344
OCCI.O,Financials,Capital Markets,United States of America,20701251
OCFC.O,Financials,Banks,United States of America,62673192
OCS.O,Health Care,Pharmaceuticals,Switzerland,36649705
OCSL.O,Financials,Capital Markets,United States of America,82245000
OCUL.O,Health Care,Pharmaceuticals,United States of America,114963193
ODC,Consumer Staples,Household Products,United States of America,22723458
ODD.O,Consumer Staples,Personal Care Products,Israel,56866675
ODFL.O,Industrials,Ground Transportation,United States of America,213497536
ODP.O,Consumer Discretionary,Specialty Retail,United States of America,66700292
OEC,Materials,Chemicals,Luxembourg,60992259
OESX.O,Industrials,Electrical Equipment,United States of America,42038967
OFIX.O,Health Care,Health Care Equipment & Supplies,United States of America,37165000
OFLX.O,Industrials,Machinery,United States of America,10153633
OFS.O,Financials,Capital Markets,United States of America,13398078
OGE,Utilities,Electric Utilities,United States of America,201000000
OGS,Utilities,Gas Utilities,United States of America,59876861
OI,Materials,Containers & Packaging,United States of America,184851162
OII,Energy,Energy Equipment & Services,United States of America,110834088
OIS,Energy,Energy Equipment & Services,United States of America,78606000
OKE,Energy,"Oil, Gas & Consumable Fuels",United States of America,609713834
OKLO.K,Utilities,Electric Utilities,United States of America,122096270
OKTA.O,Information Technology,IT Services,United States of America,167126000
OKUR.O,Health Care,Biotechnology,United States of America,3342080
OKYO.O,Health Care,Biotechnology,United Kingdom,33336316
OLED.O,Information Technology,Semiconductors & Semiconductor Equipment,United States of America,48834541
OLLI.O,Consumer Discretionary,Broadline Retail,United States of America,66927000
